ticket_id,company_id,issue_type,created_at,resolution_time_hrs
TCK-90240,6F12A829,Billing,2023-02-26 00:00:00,
TCK-84465,4F5B26AD,Billing,2023-10-20 00:00:00,12.514189021259485
TCK-10347,BBDF9911,Billing,2023-07-27 00:00:00,28.125454578598625
TCK-84411,C8402F78,Technical,2023-07-16 00:00:00,23.416171781154585
TCK-74811,3D8CBD6F,Technical,2023-12-17 00:00:00,24.39356394493904
TCK-79721,5665ACE2,Feature Request,2023-12-11 00:00:00,14.898055983599166
TCK-11167,D6F46588,Onboarding,2023-07-18 00:00:00,21.235191429530794
TCK-65739,0E4BD8B0,Feature Request,2023-10-08 00:00:00,12.909202268780348
TCK-15325,A52FDA28,Billing,2023-05-06 00:00:00,34.68238093349744
TCK-77508,21470DBE,Onboarding,2023-10-29 00:00:00,36.42299201668503
TCK-25563,63D3601D,Billing,2023-08-11 00:00:00,1.845745653142874
TCK-20811,0F098E33,Billing,2023-08-17 00:00:00,12.84586967769108
TCK-22119,BC876BF9,Onboarding,2023-06-12 00:00:00,6.041648938919053
TCK-28549,56B95107,Onboarding,2023-09-14 00:00:00,16.19971278711722
TCK-93351,B16843E4,Onboarding,2023-04-07 00:00:00,22.99874436251567
TCK-57581,4AC1D90F,Technical,2023-02-05 00:00:00,6.604257363617638
TCK-64116,49D473A9,Feature Request,2023-05-23 00:00:00,12.937682242496242
TCK-85334,D393F20D,Onboarding,2023-07-12 00:00:00,11.952511535022019
TCK-66615,914C9308,Feature Request,2023-07-27 00:00:00,26.487207952787326
TCK-17675,59ED5582,Technical,2023-02-18 00:00:00,24.832132044435006
TCK-80657,7FF11D8F,Billing,2023-03-13 00:00:00,15.33914935995296
TCK-95539,E387A64E,Technical,2023-03-12 00:00:00,26.121850465672775
TCK-10147,A039BCB5,Technical,2023-05-28 00:00:00,17.439838984952814
TCK-14414,3FEBD225,Onboarding,2023-03-14 00:00:00,20.740138676087362
TCK-44351,D33EA31A,Onboarding,2023-09-12 00:00:00,44.081425083582445
TCK-56990,D71ABBA7,Technical,2023-04-27 00:00:00,40.08553262148418
TCK-55146,B32D896F,Feature Request,2023-04-24 00:00:00,
TCK-30902,034B0820,Billing,2023-02-14 00:00:00,8.405025156868827
TCK-82307,AF8065EF,Onboarding,2023-03-13 00:00:00,33.9567890145501
TCK-64876,58F9ED43,Billing,2023-12-18 00:00:00,33.7367586538991
TCK-83985,F9519632,Billing,2023-06-27 00:00:00,10.22084053496858
TCK-14155,7B6F8F21,Billing,2023-02-28 00:00:00,33.82533172505833
TCK-17258,2E699D99,Onboarding,2023-04-23 00:00:00,42.455183020950635
TCK-21174,8F34CE66,Technical,2023-01-28 00:00:00,10.529462325067033
TCK-70067,FE04F9AD,Billing,2023-03-15 00:00:00,12.989966147828836
TCK-26666,39D50D9A,Feature Request,2023-04-13 00:00:00,36.21193760212203
TCK-13848,4102D79A,Onboarding,2023-03-06 00:00:00,27.257943729907776
TCK-75242,E0116D71,Feature Request,2023-01-06 00:00:00,30.61771530287428
TCK-43888,12641953,Onboarding,2023-04-25 00:00:00,28.08707059680596
TCK-95864,46ABBB57,Technical,2023-06-06 00:00:00,28.68835105113773
TCK-38673,C7383037,Onboarding,2023-08-03 00:00:00,8.082334460267004
TCK-91531,BFBBBA3B,Billing,2023-02-24 00:00:00,36.56781247945738
TCK-75433,E71C6465,Technical,2023-07-07 00:00:00,38.03507990913328
TCK-29516,B9C751D4,Onboarding,2023-09-09 00:00:00,21.247311071183667
TCK-20888,A81A8E6B,Feature Request,2023-08-04 00:00:00,23.478276602233652
TCK-31388,95E53BED,Onboarding,2023-03-28 00:00:00,5.626709969331333
TCK-97579,63DF502F,Technical,2023-08-23 00:00:00,30.17105707221402
TCK-61378,5B2C92E2,Feature Request,2023-09-18 00:00:00,30.86468930056973
TCK-62453,5E8B376E,Technical,2023-06-29 00:00:00,23.253707796008268
TCK-91448,11A0DFEB,Feature Request,2023-02-09 00:00:00,37.492240318446036
TCK-67933,E4DADB9C,Onboarding,2023-10-07 00:00:00,19.991073228240715
TCK-71221,E866FF2C,Billing,2023-08-31 00:00:00,30.775271110723203
TCK-93769,4F7AB498,Technical,2023-01-31 00:00:00,11.764027935694614
TCK-24267,2EC4928D,Onboarding,2023-07-31 00:00:00,23.717374189509144
TCK-29080,8648908C,Technical,2023-06-04 00:00:00,21.90774890516597
TCK-50317,0B77283F,Billing,2023-04-18 00:00:00,26.7036950644913
TCK-81786,BB8DC228,Technical,2023-07-13 00:00:00,19.565676853999697
TCK-54076,48658905,Feature Request,2023-02-14 00:00:00,22.422328851939987
TCK-31446,C7EC4268,Onboarding,2023-07-02 00:00:00,33.91256605729808
TCK-62385,361FE323,Onboarding,2023-01-09 00:00:00,18.75882915314139
TCK-23248,103062CF,Feature Request,2023-03-05 00:00:00,4.721074791135848
